"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "JSON", "Python", "Properties", "Markdown", "HTML", "YAML", "XML", "Batch", "Database", "Ini", "C++", "C", "reStructuredText", "PowerShell", "pip requirements", "Shell Script", "comment", "blank", "total"
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250827105009.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/__init___20250827140317.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/models_20250820151854.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/models_20250820152005.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/contact_20250821140942.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/contact_20250821141025.py", "Python", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 124
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/contact_20250823180401.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/contact_20250823180414.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/projects_20250820152028.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/backend/app/routes/projects_20250820152037.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
